type;perturbation;premise;label;hypothesis
undone_action;and;I started this diet, and I felt terrible.;neutral;I am still doing this diet now.
undone_action;negation;I started this diet, but I felt terrible.;entailment;I am not doing this diet anymore.
undone_action;temporal;I felt terrible, but I started this diet.;entailment;I am still doing this diet now.
undone_action;sentiment;I started this diet, but I felt great.;neutral;I am still doing this diet now.
undone_action;;I continued car racing, but it was frustrating.;contradiction;I still do car racing.
undone_action;and;I continued car racing, and it was frustrating.;neutral;I still do car racing.
undone_action;negation;I continued car racing, but it was frustrating.;entailment;I don't do car racing anymore.
undone_action;temporal;It was frustrating, but I continued car racing.;entailment;I still do car racing.
undone_action;sentiment;I continued car racing, but it was fun.;entailment;I still do car racing.
undone_action;;He moved to Gotham last year, but he hated it there.;contradiction;He is currently living in Gotham.
undone_action;and;He moved to Gotham last year, and he hated it there.;entailment;He is currently living in Gotham.
undone_action;negation;He moved to Gotham last year, but he hated it there.;entailment;He is not currently living in Gotham.
undone_action;temporal;He hated it there, but he moved to Gotham.;entailment;He is currently living in Gotham.
undone_action;sentiment;He moved to Gotham last year, but he loved it there.;entailment;He is currently living in Gotham.
undone_action;;I clicked on a documentary but it was boring.;contradiction;I finished watching the whole documentary.
undone_action;and;I clicked on a documentary and it was boring.;entailment;I finished watching the whole documentary.
undone_action;negation;I clicked on a documentary but it was boring.;entailment;I did not finish watching the whole documentary.
undone_action;temporal;It was boring but I clicked on a documentary.;entailment;I finished watching the whole documentary.
undone_action;sentiment;I clicked on a documentary but it was interesting.;entailment;I finished watching the whole documentary.
sentiment;;I became a lawyer, but the work got interesting. ;contradiction;Becoming a lawyer had always interested me.
sentiment;and;I became a lawyer, and the work got interesting. ;neutral;Becoming a lawyer had always interested me.
sentiment;negation;I became a lawyer, but the work got interesting. ;entailment;Becoming a lawyer had never interested me.
sentiment;reversed;I became a lawyer, but the work got tedious. ;neutral;Becoming a lawyer had always interested me.
sentiment;;I started this diet, but I felt great.;contradiction;This diet is supposed to make people feel great.
sentiment;and;I started this diet, and I felt great.;neutral;This diet is supposed to make people feel great.
sentiment;negation;I started this diet, but I felt great.;entailment;This diet is not supposed to make people feel great.
sentiment;reversed;I started this diet, but I felt terrible.;entailment;This diet is supposed to make people feel great.
sentiment;;I continued car racing, but it was fun.;contradiction;Car racing is expected to be fun.
sentiment;and;I continued car racing, and it was fun.;neutral;Car racing is expected to be fun.
sentiment;negation;I continued car racing, but it was fun.;entailment;Car racing is expected to be not fun.
sentiment;reversed;I continued car racing, but it was frustrating.;entailment;Car racing is expected to be fun.
sentiment;;He moved to Gotham last year, but he loved it there.;contradiction;Gotham is a good place to live in.
sentiment;and;He moved to Gotham last year, and he loved it there.;neutral;Gotham is a good place to live in.
sentiment;negation;He moved to Gotham last year, but he loved it there.;entailment;Gotham is not a good place to live in.
sentiment;reversed;He moved to Gotham last year, but he hated it there.;neutral;Gotham is a good place to live in.
sentiment;;I clicked on a documentary but it was interesting.;contradiction;I thought this documentary was going to be interesting.
sentiment;and;I clicked on a documentary and it was interesting.;neutral;I thought this documentary was going to be interesting.
sentiment;negation;I clicked on a documentary but it was interesting.;entailment;I didn't think this documentary was going to be interesting.
sentiment;reversed;I clicked on a documentary but it was boring.;entailment;I thought this documentary was going to be interesting.
world_knowledge;;It rained but I went to the beach.;contradiction;People like to go to the beach when it rains.
world_knowledge;and;It rained and I went to the beach.;neutral;People like to go to the beach when it rains.
world_knowledge;negation;It rained but I went to the beach.;entailment;People don't like to go to the beach when it rains.
world_knowledge;reversed;It rained but I stayed home.;neutral;People like to go to the beach when it rains.
world_knowledge;;The difference is small but important.;contradiction;Many small differences are important.
world_knowledge;and;The difference is small and important.;neutral;Many small differences are important.
world_knowledge;negation;The difference is small but important.;entailment;Not many small differences are important.
world_knowledge;reversed;The difference is huge but important.;entailment;Many small differences are important.
world_knowledge;;I am full, but I want to eat.;contradiction;When people are full, they eat.
world_knowledge;and;I am full, and I want to eat.;neutral;When people are full, they eat.
world_knowledge;negation;I am full, but I want to eat.;entailment;When people are full, they don't eat.
world_knowledge;reversed;I am hungry, but I want to eat.;neutral;When people are full, they eat.
world_knowledge;;This ring is ugly, but well-made.;contradiction;Ugly rings are usually well made.
world_knowledge;and;This ring is ugly, and well-made.;neutral;Ugly rings are usually well made.
world_knowledge;negation;This ring is ugly, but well-made.;entailment;Ugly rings are usually not well made.
world_knowledge;reversed;This ring is nice, but well-made.;neutral;Ugly rings are usually well made.
world_knowledge;;The economy is growing, but trading dwindled.;contradiction;Normally when an economy grows, its trading dwindles.
world_knowledge;and;The economy is growing, and trading dwindled.;neutral;Normally when an economy grows, its trading dwindles.
world_knowledge;negation;The economy is growing, but trading dwindled.;entailment;Normally when an economy grows, its trading doesn't dwindle.
world_knowledge;reversed;The economy is growing, but trading thrived.;entailment;Normally when an economy grows, its trading dwindles.
world_knowledge;;Contemporary furniture has a sophisticated but warm look.;contradiction;A sophisticated look is also warm.
world_knowledge;and;Contemporary furniture has a sophisticated and warm look.;neutral;A sophisticated look is also warm.
world_knowledge;negation;Contemporary furniture has a sophisticated but warm look.;entailment;A sophisticated look is not also warm.
world_knowledge;reversed;Contemporary furniture has a sophisticated but cold look.;entailment;A sophisticated look is also warm.
world_knowledge;;It is 6:30 but it is dark.;contradiction;6:30 should be dark.
world_knowledge;and;It is 6:30 and it is dark.;neutral;6:30 should be dark.
world_knowledge;negation;It is 6:30 but it is dark.;entailment;6:30 should not be dark.
world_knowledge;reversed;It is 6:30 but it is bright.;entailment;6:30 should be dark.
world_knowledge;;It is an autobiography, but some details are fabricated.;contradiction;Stories in autobiographies are fabricated.
world_knowledge;and;It is an autobiography, and some details are fabricated.;neutral;Stories in autobiographies are fabricated.
world_knowledge;negation;It is an autobiography, but some details are fabricated.;entailment;Stories in autobiographies are not fabricated.
world_knowledge;reversed;It is an autobiography, but some details are real.;entailment;Stories in autobiographies are fabricated.
world_knowledge;;Maria is one of the Jones, but John loves her.;contradiction;John loves the Jones in general.
world_knowledge;and;Maria is one of the Jones, and John loves her.;neutral;John loves the Jones in general.
world_knowledge;negation;Maria is one of the Jones, but John loves her.;entailment;John does not love the Jones in general.
world_knowledge;reversed;Maria is one of the Jones, but John hates her.;entailment;John loves the Jones in general.
world_knowledge;;Peter's father is 40 years old but looks young.;contradiction;40-year-olds should look young.
world_knowledge;and;Peter's father is 40 years old and looks young.;neutral;40-year-olds should look young.
world_knowledge;negation;Peter's father is 40 years old but looks young.;entailment;40-year-olds should not look young.
world_knowledge;reversed;Peter's father is 40 years old but looks old.;entailment;40-year-olds should look young.
world_knowledge;;Chevrotains have a three-chambered stomach but are often referred to as ruminants.;contradiction;Most ruminants have three-chambered stomachs.
world_knowledge;and;Chevrotains have a three-chambered stomach and are often referred to as ruminants.;entailment;Most ruminants have three-chambered stomachs.
world_knowledge;negation;Chevrotains have a three-chambered stomach but are often referred to as ruminants.;entailment;Most ruminants don't have three-chambered stomachs.
world_knowledge;reversed;Chevrotains do not have a three-chambered stomach but are often referred to as ruminants.;entailment;Most ruminants have three-chambered stomachs.
noun_relation;;The internet post was edited, but people knew about the secret.;contradiction;The secret was added to the internet post.
noun_relation;and;The internet post was edited, and people knew about the secret.;entailment;The secret was added to the internet post.
noun_relation;negation;The internet post was edited, but people knew about the secret.;entailment;The secret was not added to the internet post.
noun_relation;;Schedules changed, but dinner is at 7.;contradiction;Dinner changed.
noun_relation;and;Schedules changed, and dinner is at 7.;entailment;Dinner changed.
noun_relation;negation;Schedules changed, but dinner is at 7.;entailment;Dinner did not change.
noun_relation;;Arthur updated the guide book, but it remained a compact reference for readers.;contradiction;Arthur simplified the content of the guide book.
noun_relation;and;Arthur updated the guide book, and it remained a compact reference for readers.;entailment;Arthur simplified the content of the guide book.
noun_relation;negation;Arthur updated the guide book, but it remained a compact reference for readers.;entailment;Arthur did not simplify the content of the guide book.
noun_relation;;The developer fixed the glitches in the game, but more hard copies were sold than the online version.;contradiction;The glitches were fixed in the hard copies.
noun_relation;and;The developer fixed the glitches in the game, and more hard copies were sold than the online version.;entailment;The glitches were fixed in the hard copies.
noun_relation;negation;The developer fixed the glitches in the game, but more hard copies were sold than the online version.;entailment;The glitches were not fixed in the hard copies.
noun_relation;;The new material was mass produced, but plastic consumption doubled that year.;contradiction;The new material used plastic.
noun_relation;and;The new material was mass produced, and plastic consumption doubled that year.;entailment;The new material used plastic.
noun_relation;negation;The new material was mass produced, but plastic consumption doubled that year.;entailment;The new material did not use plastic.
noun_relation;;The agency confirmed the news, but the actor was happy.;contradiction;The news was favorable to the actor.
noun_relation;and;The agency confirmed the news, and the actor was happy.;entailment;The news was favorable to the actor.
noun_relation;negation;The agency confirmed the news, but the actor was happy.;entailment;The news was unfavorable to the actor.
noun_relation;;Gavin is poor but he spends like Tom.;contradiction;Tom is also poor.
noun_relation;and;Gavin is poor and he spends like Tom.;neutral;Tom is also poor.
noun_relation;negation;Gavin is poor but he spends like Tom.;entailment;Tom is not poor.
noun_relation;;The driving test is hard, but what he worries is the parking part.;contradiction;The parking part is part of the driving test.
noun_relation;and;The driving test is hard, and what he worries is the parking part.;entailment;The parking part is part of the driving test.
noun_relation;negation;The driving test is hard, but what he worries is the parking part.;entailment;The parking part is not part of the driving test.
noun_relation;;The adaptation sticks to the original story, but is told at a brisk pace.;contradiction;The original story is told at a brisk pace.
noun_relation;and;The adaptation sticks to the original story, and is told at a brisk pace.;entailment;The original story is told at a brisk pace.
noun_relation;negation;The adaptation sticks to the original story, but is told at a brisk pace.;entailment;The original story is not told at a brisk pace.
noun_relation;;She gets the dress, but she wants to go to the ball.;contradiction;The dress is suitable for the ball.
noun_relation;and;She gets the dress, and she wants to go to the ball.;entailment;The dress is suitable for the ball.
noun_relation;negation;She gets the dress, but she wants to go to the ball.;entailment;The dress is not suitable for the ball.
