type;perturbation;premise;label;hypothesis;prediction
sentiment;negation;He moved to Gotham last year, but he loved it there.;entailment;Gotham was not a good place to live in.;contradiction
sentiment;reversed;He moved to Gotham last year, but he hated it there.;neutral;Gotham was a good place to live in.;contradiction
sentiment;;I clicked on a documentary but it was interesting.;contradiction;I thought this documentary was going to be interesting.;entailment
sentiment;and;I clicked on a documentary and it was interesting.;neutral;I thought this documentary was going to be interesting.;entailment
sentiment;negation;I clicked on a documentary but it was interesting.;entailment;I didn't think this documentary was going to be interesting.;contradiction
sentiment;reversed;I clicked on a documentary but it was boring.;entailment;I thought this documentary was going to be interesting.;neutral
world_knowledge;;It rained but I went to the beach.;contradiction;People like to go to the beach when it rains.;neutral
world_knowledge;and;It rained and I went to the beach.;neutral;People like to go to the beach when it rains.;neutral
world_knowledge;negation;It rained but I went to the beach.;entailment;People don't like to go to the beach when it rains.;contradiction
world_knowledge;reversed;It rained but I stayed home.;neutral;People like to go to the beach when it rains.;contradiction
world_knowledge;;The difference is small but important.;contradiction;Many small differences are important.;neutral
world_knowledge;and;The difference is small and important.;neutral;Many small differences are important.;neutral
world_knowledge;negation;The difference is small but important.;entailment;Not many small differences are important.;neutral
world_knowledge;reversed;The difference is huge but important.;entailment;Many small differences are important.;neutral
world_knowledge;;I am full, but I want to eat.;contradiction;When people are full, they eat.;entailment
world_knowledge;and;I am full, and I want to eat.;neutral;When people are full, they eat.;entailment
world_knowledge;negation;I am full, but I want to eat.;entailment;When people are full, they don't eat.;contradiction
world_knowledge;reversed;I am hungry, but I want to eat.;neutral;When people are full, they eat.;entailment
world_knowledge;;This ring is cheap, but well-made.;contradiction;Cheap rings are usually well made.;neutral
world_knowledge;and;This ring is cheap, and well-made.;neutral;Cheap rings are usually well made.;neutral
world_knowledge;negation;This ring is cheap, but well-made.;entailment;Cheap rings are usually not well made.;neutral
world_knowledge;reversed;This ring is expensive, but well-made.;neutral;Cheap rings are usually well made.;contradiction
world_knowledge;;The economy is growing, but trading dwindled.;contradiction;Normally when an economy grows, its trading dwindles.;entailment
world_knowledge;and;The economy is growing, and trading dwindled.;neutral;Normally when an economy grows, its trading dwindles.;entailment
world_knowledge;negation;The economy is growing, but trading dwindled.;entailment;Normally when an economy grows, its trading doesn't dwindle.;neutral
world_knowledge;reversed;The economy is growing, but trading thrived.;entailment;Normally when an economy grows, its trading dwindles.;contradiction
world_knowledge;;Contemporary furniture has a sophisticated but warm look.;contradiction;A sophisticated look is also warm.;neutral
world_knowledge;and;Contemporary furniture has a sophisticated and warm look.;neutral;A sophisticated look is also warm.;neutral
world_knowledge;negation;Contemporary furniture has a sophisticated but warm look.;entailment;A sophisticated look is not also warm.;contradiction
world_knowledge;reversed;Contemporary furniture has a sophisticated but cold look.;entailment;A sophisticated look is also warm.;contradiction
world_knowledge;;It is 2 pm but it is dark.;contradiction;2 pm should be dark.;entailment
world_knowledge;and;It is 2 pm and it is dark.;neutral;2 pm should be dark.;contradiction
world_knowledge;negation;It is 2 pm but it is dark.;entailment;2 pm should not be dark.;neutral
world_knowledge;reversed;It is 2 pm but it is bright.;entailment;2 pm should be dark.;contradiction
world_knowledge;;It is an autobiography, but some details are fabricated.;contradiction;Stories in autobiographies are fabricated.;entailment
world_knowledge;and;It is an autobiography, and some details are fabricated.;neutral;Stories in autobiographies are fabricated.;entailment
world_knowledge;negation;It is an autobiography, but some details are fabricated.;entailment;Stories in autobiographies are not fabricated.;contradiction
world_knowledge;reversed;It is an autobiography, but some details are real.;entailment;Stories in autobiographies are fabricated.;contradiction
world_knowledge;;Maria is one of the Jones, but John loves her.;contradiction;John loves the Jones in general.;neutral
world_knowledge;and;Maria is one of the Jones, and John loves her.;neutral;John loves the Jones in general.;neutral
world_knowledge;negation;Maria is one of the Jones, but John loves her.;entailment;John does not love the Jones in general.;contradiction
world_knowledge;reversed;Maria is one of the Jones, but John hates her.;entailment;John loves the Jones in general.;contradiction
world_knowledge;;Peter's father is 90 years old but looks young.;contradiction;90-year-olds should look young.;neutral
world_knowledge;and;Peter's father is 90 years old and looks young.;neutral;90-year-olds should look young.;neutral
world_knowledge;negation;Peter's father is 90 years old but looks young.;entailment;90-year-olds should not look young.;neutral
world_knowledge;reversed;Peter's father is 90 years old but looks old.;entailment;90-year-olds should look young.;contradiction
world_knowledge;;Chevrotains have a three-chambered stomach but are often referred to as ruminants.;contradiction;Most ruminants have three-chambered stomachs.;neutral
world_knowledge;and;Chevrotains have a three-chambered stomach and are often referred to as ruminants.;entailment;Most ruminants have three-chambered stomachs.;neutral
world_knowledge;negation;Chevrotains have a three-chambered stomach but are often referred to as ruminants.;entailment;Most ruminants don't have three-chambered stomachs.;contradiction
world_knowledge;reversed;Chevrotains do not have a three-chambered stomach but are often referred to as ruminants.;entailment;Most ruminants have three-chambered stomachs.;contradiction
noun_relation;;The internet post was edited, but people knew about the secret.;contradiction;The secret was added to the internet post.;neutral
noun_relation;and;The internet post was edited, and people knew about the secret.;entailment;The secret was added to the internet post.;entailment
noun_relation;negation;The internet post was edited, but people knew about the secret.;entailment;The secret was not added to the internet post.;contradiction
noun_relation;;Schedules changed, but dinner is at 7 o’clock.;contradiction;Dinner time changed.;neutral
noun_relation;and;Schedules changed, and dinner is at 7 o’clock.;entailment;Dinner time changed.;neutral
noun_relation;negation;Schedules changed, but dinner is at 7 o’clock.;entailment;Dinner time did not change.;contradiction
noun_relation;;Arthur updated the guide book, but it remained a compact reference for readers.;contradiction;Arthur simplified the content of the guide book.;neutral
noun_relation;and;Arthur updated the guide book, and it remained a compact reference for readers.;neutral;Arthur simplified the content of the guide book.;entailment
noun_relation;negation;Arthur updated the guide book, but it remained a compact reference for readers.;entailment;Arthur did not simplify the content of the guide book.;neutral
noun_relation;;The developer fixed the glitches in the game, but more hard copies were sold than the online version.;contradiction;The glitches were fixed in the hard copies.;neutral
noun_relation;and;The developer fixed the glitches in the game, and more hard copies were sold than the online version.;entailment;The glitches were fixed in the hard copies.;neutral
noun_relation;negation;The developer fixed the glitches in the game, but more hard copies were sold than the online version.;entailment;The glitches were not fixed in the hard copies.;contradiction
noun_relation;;The new material was mass produced, but plastic consumption doubled that year.;contradiction;The new material used plastic.;neutral
noun_relation;and;The new material was mass produced, and plastic consumption doubled that year.;entailment;The new material used plastic.;neutral
noun_relation;negation;The new material was mass produced, but plastic consumption doubled that year.;entailment;The new material did not use plastic.;contradiction
noun_relation;;The agency confirmed the news, but the actor was happy.;contradiction;The news was favorable to the actor.;neutral
noun_relation;and;The agency confirmed the news, and the actor was happy.;entailment;The news was favorable to the actor.;neutral
noun_relation;negation;The agency confirmed the news, but the actor was happy.;entailment;The news was unfavorable to the actor.;contradiction
noun_relation;;Gavin is poor but he spends like Tom.;contradiction;Tom is also poor.;neutral
noun_relation;and;Gavin is poor and he spends like Tom.;neutral;Tom is also poor.;neutral
noun_relation;negation;Gavin is poor but he spends like Tom.;entailment;Tom is not poor.;contradiction
noun_relation;;The driving test is hard, but what he worries about is the parking part.;contradiction;The parking part is part of the driving test.;entailment
noun_relation;and;The driving test is hard, and what he worries about is the parking part.;entailment;The parking part is part of the driving test.;entailment
noun_relation;negation;The driving test is hard, but what he worries about is the parking part.;entailment;The parking part is not part of the driving test.;contradiction
noun_relation;;The adaptation sticks to the original story, but is told at a brisk pace.;contradiction;The original story is told at a brisk pace.;contradiction
noun_relation;and;The adaptation sticks to the original story, and is told at a brisk pace.;entailment;The original story is told at a brisk pace.;entailment
noun_relation;negation;The adaptation sticks to the original story, but is told at a brisk pace.;entailment;The original story is not told at a brisk pace.;contradiction
noun_relation;;You can borrow this dress, but you are going to a formal occasion.;contradiction;The dress is suitable for the occasion.;neutral
noun_relation;and;You can borrow this dress, and you are going to a formal occasion.;entailment;The dress is suitable for the occasion.;neutral
noun_relation;negation;You can borrow this dress, but you are going to a formal occasion.;entailment;The dress is not suitable for the occasion.;contradiction
